Timestamp,Frame,TrackID,Class,Confidence,Gender,Age,X,Y,Width,Height
7.69,223,1,person,0.672,Man,34,634,367,51,134
7.72,224,4,person,0.711,Man,28,566,303,36,121
7.72,224,1,person,0.67,Man,34,633,370,53,128
7.76,225,4,person,0.634,Man,28,566,301,39,129
7.76,225,1,person,0.703,Man,34,634,370,48,129
7.79,226,4,person,0.639,Man,28,568,301,40,128
7.79,226,1,person,0.709,Man,34,634,370,45,136
7.83,227,4,person,0.639,Man,28,569,301,36,121
7.83,227,1,person,0.732,Man,34,633,369,45,135
7.86,228,4,person,0.666,Man,28,569,303,34,111
7.86,228,1,person,0.691,Man,34,633,371,42,120
7.9,229,4,person,0.678,Man,28,568,305,33,112
7.9,229,1,person,0.782,Man,34,632,372,44,120
7.93,230,4,person,0.629,Man,28,566,298,39,124
7.93,230,1,person,0.732,Man,34,630,370,46,117
7.97,231,4,person,0.628,Man,28,563,293,46,136
7.97,231,1,person,0.795,Man,34,630,367,47,127
8.0,232,4,person,0.59,Man,28,563,294,45,122
8.0,232,1,person,0.652,Man,34,629,364,47,128
8.03,233,4,person,0.598,Man,28,564,297,41,115
8.03,233,1,person,0.76,Man,34,629,363,48,131
8.07,234,4,person,0.641,Man,28,566,300,40,127
8.07,234,1,person,0.782,Man,34,630,365,47,131
8.1,235,4,person,0.669,Man,28,570,304,34,114
8.1,235,1,person,0.821,Man,34,630,366,46,126
8.14,236,4,person,0.634,Man,28,569,304,37,120
8.14,236,1,person,0.843,Man,34,630,366,44,130
8.17,237,4,person,0.626,Man,28,568,304,39,120
8.17,237,1,person,0.77,Man,34,629,366,42,134
8.21,238,4,person,0.55,Man,28,569,305,36,109
8.21,238,1,person,0.525,Man,34,629,367,43,127
8.24,239,4,person,0.735,Man,28,568,308,37,103
8.24,239,1,person,0.721,Man,34,629,367,45,129
8.28,240,4,person,0.709,Man,28,568,311,36,98
8.28,240,1,person,0.732,Man,34,630,366,47,122
8.31,241,4,person,0.651,Man,28,566,311,36,101
8.31,241,1,person,0.803,Man,34,630,365,47,129
